Anvil,"Vend, Whobuy","Refining / Ore / Forging, Misc",,986,,,"18,600",No
Apple,NPC,"Cooking, Other Quest, Consumable",,512,0,0,8,Yes
Apple Juice,"NPC, Keep","Pet Food, Cooking, Pet Evolution, Consumable",x3 for Eggring Pet Evolution,531,,,12,No
Apple of Archer [0],Vend,"Server Hat Quest, Equipment",x1 for Well-Chewed Pencil,,"1,000,000",0,12,No
Apple Pudding,NPC,"Pet Food, Misc",,6108,0,0,620,"Yes, NPC only item"
Aquamarine,"Keep, Vend","Server Hat Quest, Misc",x70 for Pisces Crown,720,,,"3,720",No
Armlet of Obedience,Vend,Pet Taming Item,"Isis Taming Item, x3 for Little Isis Pet Evolution",639,,,"11,160",No
Armor Piece of Dullahan,NPC,Misc,,7210,,,489,No
Assassin Mask,Vend,"Server Hat Quest, Equipment",x1 for Advanced Assassin Mask,5054,,,12,No
Authoritative Badge,"Vend, Whobuy",Consumable,,662,,,899,No
Bacillus,"Whobuy, Vend","Repeatable Quest, Cooking, Misc",+10 DEX Food,581,780,580,634,No
Backpack,Vend,Pet Accessory,,10013,0,0,930,"Yes, NPC only item"
Bag of Grain,"Keep, NPC","Cooking, Misc",,577,0,0,124,"Yes, NPC only item"
Banana,"Keep, NPC","Cooking, Consumable",,513,0,0,8,Yes
Banana Juice,,"Pet Food, Consumable",Yoyo Pet food,532,,,12,No
Bandana [0],NPC,"Official Hat Quest, Equipment","x1 for Hot-blooded Headband, x1 for Blue Hairband",,0,0,248,Yes
Baphoment Jr Card,Vend,"Card, Pet Evolution","x5 for Bahpomet Pet Evolution, x2 for Chaotic Baphomet Jr Pet Evolution",,,,12,No
Baphomet Doll,Vend,"Dungeon Quest, Misc",xVaries for Sign Quest,750,"16,000",0,"11,160",No
Bark Shorts,Junk,Pet Accessory,,10017,,,12,No
Bat Cage,"Keep, Vend","Pet Evolution, Misc",x500 for Blue Moon Loli Ruri Pet Evolution,7214,,,545,No
Battered Kettle,NPC,Misc,,7323,,,158,No
Battered Pot,Junk,Pet Accessory,,10010,,,12,No
Bear's Footskin,NPC,"Dungeon Quest, Cooking",,948,,,107,No
Beautiful Badges,Junk,Pet Accessory,,10028,,,,
Bee Sting,"Vend, Whobuy","Skill Crafting, Misc",Create Deadly Poison,939,,,19,No
Beret [0],Vend,"Official Hat Quest, Equipment",x1 for Feather Beret,5172,"50,000",,,No
Big Cell,NPC,"Pet Food, Misc",,6104,,,,
Big Ribbon [0],Vend,"Official Hat Quest, Equipment",x1 for Red Ribbon,224,,,"9,300",No
Bill of Birds,"Whobuy, Vend","Repeatable Quest, Misc",,925,0,0,39,Yes
Biotite,Vend,"Refining / Ore / Forging, Misc",,7297,,,"1,860",No
Bitter Herb,Vend,"Pet Taming Item, Cooking","+10 AGI Food, Poporing Taming Item",621,,,12,No
Black Bear Skin,"Keep, NPC","Official Hat Quest, Misc",x300 for Teddy Bear Hat,7161,,,238,No
Black Butterfly Mask,Vend,Pet Accessory,Sucubus Pet accessory,10037,,,0,No
Black Cat Doll,"Keep, Vend, Whobuy","Pet Evolution, Official Hat Quest, Misc","x200 for Wild Rose Pet Evolution, x500 for Wikibine's Black Cat Ears",7206,,,892,No
Black Dyestuffs,"Keep, Vend","Official Hat Quest, Server Hat Quest, Misc","x1 for Black Cat Ears, x1 for Skull Cap, x1 for Censor Bar",983,,,"4,960",No
Blade Lost in Darkness,Vend,"Pet Evolution, Misc","x100 for Abysmal Knight Pet Evolution, x100 for White Knight Pet Evolution",7023,,,"7,440",No
Blank Scroll,Keep,Skill Crafting,Create Elemental Converter,7433,0,0,"2,480",Yes
Blood Red,"Vend, Whobuy","Pet Evolution, Skill Crafting, Arrow Crafting, Misc",x50 for Fire Golem Pet Evolution,,,,620,No
Bloody Page,"Vend, NPC","Pet Evolution, Misc",x50 for Alicel Pet Evolution,7449,,,421,No
Bloody Rune,Keep,"Official Hat Quest, Misc",,7563,"1,500","1,000","1,249",No
Blue Bijou,NPC,"Official Hat Quest, Misc","x7 for Magistrate Hat [1], x7 for A-Yam Hat [1]",7446,0,0,549,No
Blue Feather,"Keep, Vend","Dungeon Quest, Official Hat Quest, Server Hat Quest, Misc","x25 for Filir's Pinions, x10 for Rainbow Scarf, x300 for Orc Hero Headdress",7441,,,704,No
Blue Gemstone,Keep,"Skill Use, Job Quest, Misc","Wizard Job Quest, Blacksmith Job Quest",717,0,0,279,Yes
Blue Hair,NPC,Misc,,1034,,,212,No
Blue Herb,"Vend, Whobuy","Pet Evolution, Alchemy / Brewing / Potions, Consumable","x100 for Rigid Nightmare Terror Pet Evolution, x50 for Blue Moon Loli Ruri Pet Evolution",510,,,37,No
Blue Potion,Keep,"Consumable, Cooking",,505,0,0,"3,100",Yes
Blue Vital Flower,NPC,"Pet Food, Misc",,,0,0,620,"Yes, NPC only item"
Blush [0],"Keep, Vend","Server Hat Quest, Equipment","x1 for Wickebine's Black Cat Ears, x1 for Blush of Groom",,,,12,No
Bomb Wick [0],"Keep, Vend",Equipment,x1 for Candle Hat,,,,12,No
Bone Helm [1],"Keep, Vend","Server Hat Quest, Equipment",x1 for Darkness Helm,,,,12,No
Book of the Devil,Vend,Pet Taming Item,"Baphomet Jr. Taming Item, ",642,,,"1,116",No
Bookclip in Memory,"Keep, Vend","Official Hat Quest, Server Hat Quest, Misc","x20 for Hahoe Mask, x200 for Rideword Hat (RWH)",7015,,,"1,860",No
Bouquet,NPC,"Other Quest, Misc",x1 for Cursed Spirit Quest,744,0,0,"1,240",Yes
Boy's Pure Heart,Vend,Pet Taming Item,"Succubus Taming Item,",12373,,,,No
Bread,NPC,Cooking,,580,0,0,,Yes
Brigan,"Vend, NPC",Pet Evolution,x300 for Chaotic Baphomet Jr Pet Evolution,7054,,,,No
Broken Farming Utensil,NPC,Misc,-,7753,0,0,204,
Brooch [0],NPC,Equipment,,2605,0,0,,Yes
Brooch [1],Vend,Equipment,,2625,"1,500,000",,,No
Brown Root,NPC,Misc,-,7188,0,0,347,No
Bun,NPC,Pet Food,,6115,0,0,,"Yes, NPC only item"
Burning Heart,"Keep, NPC",Official Hat Quest,x300 for Hot-blooded Headband,7097,,,,No
Burning Horseshoe,"Keep, NPC",Official Hat Quest,"x1000 for Rigid Nightmare Terror Pet Evolution, x4 for Cowboy Hat",7120,,,,No
Burnt Tree,"Keep, NPC",Official Hat Quest,x300 for Spore Hat,7068,,,,No
Cacao,"Vend, NPC",Pet Evolution,x300 for Choco Pet Evolution,7182,,,,No
Cactus Needle,"Vend, Whobuy","Skill Crafting, Official Hat Quest","Create Deadly Poison, x50 for Sombrero, x100 for Hahoe Mask",952,,,,No
Candle [0],Keep,Official Hat Quest,x1 for Mine Helmet,,,,,No
Candy,NPC,"Pet Food, Official Hat Quest","x10 for Cake Hat, x50 for Sweet Drops Pet Evolution",529,,,,
Candy Cane,"Keep, NPC",Official Hat Quest,"x5 for Cake Hat, x50 for Sweet Drops Pet Evolution",530,,,,
Cap [0],"Keep, NPC",Official Hat Quest,x1 for Beanie,,0,0,,Yes
Cap [1],"Keep, Vend",Official Hat Quest,x1 for Sunday Hat,,,,,No
Carrot,"Keep, NPC",Cooking,-,515,0,0,,Yes
Carrot Juice,"Keep, NPC",Pet Food,Lunatic Pet food,534,,,,No
Cat's Eye,"Keep, NPC",Official Hat Quest,,7263,,,,No
Celebrant's Mitten [0],Vend,"Server Hat Quest, Equipment",x3 for Anubis Helm,,,,,No
Chain [3],NPC,Equipment,,,"60,000",,,No
Charming Lotus,,Pet Taming Item,"Evil Nymph Taming Item,",12365,,,,
Cheese,"Keep, Vend, Whobuy","Cooking, Official Hat Quest",x50 for Crunch Toast,548,,,,No
Chivalry Emblem,"Keep, Vend",Pet Taming Item Ingredient,,1004,,,,No
Chonchon Doll,Vend,Dungeon Quest,,742,,,,
Chrysalis,"Whobuy, NPC",Repeatable Quest,,915,,,,
Cigarette [0],"Keep, Vend",Pet Evolution,"x1 for High Orc Pet Evolution,",,,,,
Circlet [1],Keep,Official Hat Quest,"x1 for Bulb Band, x1 for Grief for Greed",,,,,
Citrin,Vend,Refining / Ore / Forging,,7295,,,,
Clam Flesh,NPC,"Cooking, Dungeon Quest",,966,,,,
Clam Shell,NPC,"Dungeon Quest, Pet Evolution",x100 for Rigid Nightmare Terror Pet evolution,965,0,0,,Yes
Clattering Skull,"Keep, Vend",Server Hat Quest,x250 for Satanic Bone Helm,7752,800,0,520,
Claw of Desert Wolf,"Keep, Vend","Pet Evolution, Official Hat Quest","x108 for Cowboy Hat, x50 for Rainbow Eggshell, x300 for Desert Wolf Pet Evolution",7030,,,,
Clock Hands,"Keep, NPC",Official Hat Quest,,,,,,
Clover,"Keep, NPC",Pet Evolution,x25 for Leaf Lunatic Pet Evolution,705,,,,
Coal,"Vend, Whobuy","Cooking, Official Hat Quest","x50 for Hat of the Sun God, x1 for Headset",1003,,,,
Cobaltblue Dyestuffs,"Keep, Vend",Official Hat Quest,"x1 for Blue Hairband, x1 for Rainbow Eggshell, x1 for Parcel Hat",978,,,,
Cobweb,Vend,Skill Use,Professor skill,1025,,,,
Concentration Potion,Keep,"Consumable, Cooking",+10 DEX Food,645,,,,
Conch,NPC,"Dungeon Quest, Cooking",,961,,,,
Contract in Shadow,Vend,"Pet Taming Item, Pet Evolution","Deviruchi Taming Item, x3 for Diabloic Pet Evolution",641,,,,
Cookie Bat,Vend,Pet Evolution,,,,,,
Cookie Bat,,Pet Evolution,x100 for Skelion Pet Evolution,,,,,
Cooking Oil,Keep,Cooking,,7457,0,0,,"Yes, NPC only item"
Coral Reef,Keep,"Official Hat Quest, Dungeon Quest",x1200 for Heart Hairpin,7013,,,,
Corsair,"Keep, Vend",Server Hat Quest,x1 for Purple Cowboy Hat,5019,,,,
Cotton Tufts,NPC,Pet Food,,,0,0,,"Yes, NPC only item"
Crab Shell,NPC,Dungeon Quest,,964,0,0,,Yes
Cracked Diamond,Keep,Official Hat Quest,x1 for Doctor Band,733,,,,
Crest Piece,"Keep, Vend",Dungeon Quest,,7356,,,,
Crown [0],"Keep, Vend",Server Hat Quest,x1 for Pisces Crown,,,,,
Crystal Blue,"Keep, Vend, Whobuy",Skill Use,,991,,,,
Crystal Fragment,NPC,Skill Use,,7321,,,,
Crystal Mirror,NPC,"Dungeon Quest, Official Hat Quest",x1 for Mine Helmet,747,0,0,"6,500",Yes
Crystal of Darkness,"Keep, Vend",Server Hat Quest,x500 for Darkness Helm,7799,,,,
Crystal Pumps [0],Vend,Gear,,2407,"100,000",,,No
Crystalized Teardrop,NPC,Misc,-,6075,0,0,403,No
Cultish Masque,Vend,"Server Hat Quest, Misc",x1000 for Anubis Helm,,,,,No
Cursed Ruby,Keep,"Pet Evolution, Official Hat Quest","x50 for Abandoned Teddy Bear Pet Evolution, x1 for Ear Muffs",,,,,No
Cursed Seal,"Keep, Vend","Pet Evolution, Server Hat Quest","x10 for Necromancer's Hood, x300 for Abandoned Teddy Bear Pet Evolution",,,,,No
Cyfar,NPC,Misc,-,7053,0,0,,No
Daenggie,"Keep, NPC",Pet Taming Item Ingredient,,901,,,,No
Dark Crystal Fragment,"Keep, Vend",Official Hat Quest,x369 for Zealotus Mask,7315,"5,000",0,,No
Deadly Noxious Herb,NPC,Pet Taming Item,Poison Spore Taming Item,631,,,,No
Delicious Meat,,"Pet Food, Pet Evolution","x100 for Skelion Pet Evolution, Skelion Pet Food",,,,,No
Delicious Shaved Ice,Vend,Pet Taming Item,Marionette Taming Item,12361,,,,No
Desert Wolf Card,Vend,"Pet Evolution, Card",x1 for Desert Wolf Pet Evolution,4082,,,,No
Destroyed Armor,"Keep, NPC",Official Hat Quest,x500 for Cross Hat,7069,,,,No
Detonator,"Vend, Whobuy",Alchemy / Brewing / Potions,,1051,,,,No
Detrimindexta,"Vend, Whobuy",Other Quest,,971,,,,No
Deviruchi Card,Vend,"Pet Evolution, Card",x1 for Diabloic Pet Evolution,4122,,,,No
Dew Laden Moss,NPC,Pet Taming Item,Spore Taming Item,630,,,,No
Dokebi Horn,"Whobuy, Vend","Repeatable Quest, Pet Evolution",x300 for Am Mut Pet Evolution,1021,,,,No
Dragon Canine,"Keep, Vend, NPC",Dungeon Quest,,1035,300,0,300,No
Dragon Scale,"Keep, Vend, NPC","Official Hat Quest, Dungeon Quest","x400 for Mage Hat, x450 for Chef Hat, x20 for Raccoon Hat",1036,300,0,310,No
Dragon Skin,,Cooking,,7123,890,0,634,No
Dragon Tail,,"Cooking, Dungeon Quest",,1037,"1,300",0,744,No
Dragon's Mane,NPC,Misc,-,6073,0,0,279,No
Drooping Cat [0],"Keep, Vend",Server Hat Quest,x1 for Koneko Hat,,,,,No
Drops Card,"Card Recycler, Vend","Pet Evolution, Card",x1 for Sweet Drops Pet Evolution,4004,,,,No
Dust Pollutant,NPC,Misc,,7320,,,,No
Earth Deleter Card,"Keep, Vend","Card, Pet Evolution",x1 for Earth Deleter Pet Evolution,4279,,,,No
Earthworm Peeling,"Whobuy, Vend",Repeatable Quest,,1055,,,,No
Ectoplasm,"Keep, NPC",Official Hat Quest,x400 for X Hairpin,7220,,,,No
Edible Mushroom,Keep,Cooking,,581,0,0,,"Yes, NPC only item"
Egg Shell [0],"Keep, Vend","Official Hat Quest, Server Hat Quest","x1 for Rainbow Eggshell, x1 for Chick Hat",,,,,
Eggring Card,"Vend, Card Recycler","Pet Evolution, Card",x1 for Eggring Pet Evolution,,,,,No
Elastic Band,Keep,Official Hat Quest,"x10 for Hahoe Mask, x10 for Mythical Lion Mask, x10 for Bride Mask",7200,,,,No
Elder Pixie's Moustache,NPC,Misc,,1040,,,,No
Elder Willow Card,"Keep, Vend",Official Hat Quest,x1 for Mage Hat,4052,,,,No
Elunium,Keep,"Pet Evolution, Refining / Ore / Forging",x30 for Aliza Pet Evolution,985,,,,No
Emblem of the Sun God,"Keep, Vend",Official Hat Quest,x1 for Hat of the Sun God,7086,,,,No
Emerald,"Keep, Vend",Server Hat Quest,x70 for Pisces Crown,721,,,,No
Emperium,Keep,"Arrow Crafting, Official Hat Quest","x1 for Decorative Golden Bell, x1 for Crown of Ancient Queen, x1 for Crown of Mistress",714,,,,No
Empty Bottle,Keep,"Skill Crafting, Skill Use, Alchemy / Brewing / Potions",,713,0,0,,Yes
Evil Druid Card,Vend,"Pet Evolution, Card",x10 for Dark Lord Pet Evolution,4141,,,,
Evil Horn,Keep,"Pet Evolution, Official Hat Quest","x300 for Baophomet Jr Pet Evolution, x50 for Necromancer's Hood, x20 for Antlers",923,,,,
Evil Wing Ears [0],"Keep, Vend",Server Hat Quest,x1 for Dark Randgris Helm,,,,,
Fabric,"Keep, Vend","Official Hat Quest, Pet Evolution, Alchemy / Brewing / Potions","x150 for Parcel Hat, x250 for Sunday Hat, x500 for Bride Mask, x100 for Contaminated Wanderer Pet Evolution",1059,,,,
Fan of Wind,Vend,Pet Taming Item,"Civil Servant Taming Item,",12358,,,,
Fang,NPC,Misc,,1063,,,,
Fang of Garm / Fang of Hatii,Keep,Official Hat Quest,x5 for Helm of Angel,,,,,
Fantastic Cooking Kit,"Keep, Vend",Cooking,,12129,,,,
Fatty Chubby Earthworm,Vend,"Pet Taming Item, Pet Evolution, Cooking","Peco Peco Taming Item, x3 for Grand Peco Pet Evolution",632,,,,
Feather,Keep,"Pet Evolution, Official Hat Quest, Server Hat Quest","x330 for Chef Hat, x80 for Grief for Greed, x50 for Savage Pet Evolution, x100 for Bunny Band, x200 for Ear Muffs, x1000 for Beer Hat",949,,,,
Feather of Birds,Keep,"Official Hat Quest, Dungeon Quest","x300 for Feather Bonnet, x500 for Chick Hat",916,,,,
Fig Leaf,"Vend, Whobuy",Cooking,,7298,380,205,333,
Fin,NPC,Misc,,951,,,,
Fine Grit,NPC,Misc,,7041,,,,
Fine Sand,NPC,Misc,,7043,,,,
Fine-grained Trunk,"Junk, NPC",Misc,,1066,,,,
Fish Tail,Vend,Pet Evolution,x200 for Wild Rose Pet Evolution,1023,300,0,121,No
Fish with Blue Back,NPC,Pet Food,,6096,,,,
Flail Goblin Ring,Vend,Pet Taming Item,"Flail Goblin Taming Item, ",14570,,,,
Flame Gemstone,NPC,Pet Food,,6114,0,0,,"Yes, NPC only item"
Flame Heart,"Vend, Whobuy","Arrow Crafting, Refining / Ore / Forging, Server Hat Quest",x20 for Vanilmirth Hat,994,,,,
Flavored Alcohol,NPC,Pet Food,,6095,,,,
Flexible Tube,NPC,"Other Quest, Dungeon Quest","x20 for Factory Quest, x5 for Finding the Moving Island Quest (Moscovia Dungeon Access)",7325,,,,
Fluff,Keep,"Repeatable Quest, Official Hat Quest",x200 for Black Cat Ears,914,,,,
Fluroscent Liquid,NPC,Misc,-,7326,,,,
Forbidden Red Candle,Vend,Pet Taming Item,"Zealotus Taming Item,",660,,,,
Four Leaf Clover,"Keep, Vend","Pet Evolution, Official Hat Quest, Server Hat Quest","x30 for Leaf Lunatic Pet Evolution, x1 for Hahoe Mask, x1 for Mythical Lion Mask, x1 for Bride Mask, x20 for Festival Pumpkin Hat, x1 for Bunny Band",706,,,,
Fragment,NPC,Misc,,7094,,,,
Fragment of Agony,,,,7436,,,,No
Fragment of Despair,,,,7439,,,,No
Fragment of Hatred,,,,7438,,,,No
Fragment of Misery,,,,7437,,,,No
Fresh Fish,Keep,"Pet Food, Consumable, Server Hat Quest",x300 for Fish Head Hat,579,0,0,,Yes
Fresh Plant,NPC,Pet Food,,6112,,,,
Frill,"Whobuy, Vend","Repeatable Quest, Alchemy / Brewing / Potions",,1012,,,,No
Frozen Rose,Keep,"Official Hat Quest, Misc",,749,,,"14,500",No
Fur,Vend,"Server Hat Quest, Misc","x50 for Little Angel Doll, x200 for Puppy Hat",6020,,,,No
Gangster Mask [0],"Keep, Vend","Server Hat Quest, Equipment",x5 for Gangster Scarf,,,,,
Garlet,NPC,"Alchemy / Brewing / Potions, Misc",,910,,,,
Garnet,NPC,Misc,,718,,,,
Geek Glasses,Keep,"Official Hat Quest, Dungeon Quest, Other Quest, Equipment","x1 for Cursed Spirit Quest, x1 for Binoculars",2243,0,0,,Yes
Gemstone,NPC,Misc,,7300,,,,No
Ghost Coffin,Vend,Pet Taming Item,"Whisper Taming Item,",,,,,
Ghoul Card,Vend,"Pet Evolution, Card","x10 for Dark Lord Pet Evolution, x5 for Dark Illusion Pet Evolution",4110,,,,
Giant Butterfly Wing,NPC,Misc,,7168,,,,
Gift Box,"Vend, Whobuy",Consumable,-,644,,"7,200",,
Gill,NPC,Misc,,956,,,,
Girl's Diary,"Vend, NPC",Equipment,,1558,,,,
Girl's Doll,,Pet Taming Item,"Miyabi Doll Taming Item,",12366,,,,
Girl's Naivety,Vend,Pet Taming Item,,12370,,,,
Glacial Heart,"Keep, Vend, Whobuy","Other Quest, Dungeon Quest, Server Hat Quest","x40 for Ice Necklace Quest, x350 for Satanic Bone Helm",7561,500,0,375,
Glass Bead,"Keep, NPC",Official Hat Quest,x20 for Bulb Band,746,0,0,,Yes
Gold,"Vend, Keep","Pet Evolution, Official Hat Quest, Other Quest, Server Hat Quest","x1 for Grief for Greed, x10 for Hat of the Sun God, x3 for Decorative Golden Bell, x3 for Crown of Ancient Queen, x3 for Crown of Mistress, x1 for Cursed Spirit Quest, x20 for Orc Hero Headdress, x30 for Ancient Mummy Pet Evolution, x3 for Am Mut Pet Evolution",969,,,,
Golden Bell,"Keep, Vend","Pet Accessory, Official Hat Quest",x1 for Decorative Golden Bell,10016,,,,
Golden Earring,,Pet Accessory,,,,,,
Golden Hair,NPC,Misc,,1060,,,,No
Golem Card,Vend,"Pet Evolution, Card","x3 for Fire Golem Pet Evolution,",4072,,,,
Grandpa Beard,Keep,"Dungeon Quest, Other Quest",x1 for Cursed Spirit Quest,,0,0,,Yes
Grape,Keep,Cooking,,514,,,,
Grape Juice,"Vend, Whobuy","Cooking, Valuable Consumable",,533,,,,
Grasshopper's Leg,"Vend, NPC",Pet Evolution,x777 for Metaller Pet Evolution,940,,,,
Grave Keeper's Sword,,Pet Accessory,,10020,,,,
Great Nature,"Vend, Whobuy","Arrow Crafting, Refining / Ore / Forging",,997,,,,
Green Apple,Vend,Pet Food,,7821,,,,
Green Bijou,"Keep, NPC",Official Hat Quest,"x7 for Magistrate Hat [1], x7 for A-Yam Hat [1]",7445,0,0,549,
Green Dyestuffs,NPC,Misc,,,,,,
Green Herb,"Keep, Vend","Pet Food, Pet Evolution, Cooking, Dungeon Quest","x10 for Veins Sibling Quest (each try), x200 for Aliza Pet Evolution",511,,,,
Green Jewel Bag,,Pet Accessory,,10023,,,,
Green Lace,Keep,"Pet Accessory, Official Hat Quest",x1 for Red Bonnet,10015,,,,
Green Live,"Vend, Whobuy",Skill Use,,993,,,,
Grilled Rice Cake,NPC,Pet Food,,6099,,,,
Grit,NPC,Misc,,1056,,,,
Guitar [0],"Keep, NPC",Official Hat Quest,x1 for Sombrero,,,,,
Hairband of Stars,,Pet Accessory,,10025,,,,
Halo [0],Keep,"Official Hat Quest, Pet Evolution",x1 for Angeling Pet Evolution,,,,,
Hammer Goblin Ring,Vend,Pet Taming Item,"Hammer Gobling Taming Item,",14571,,,,
Hammer of Blacksmith,"Vend, Whobuy",Other Quest,,1005,,,,
Hand of God,Vend,Pet Evolution,"x50 for Diabolic Pet evolution, x50 for Contaminated Wanderer Pet Evolution",1009,,,,No
Handcuffs,"Vend, Keep","Server Hat Quest, Misc",x1000 for Mitra [1],7345,,,,No
Hard Feeler,NPC,Misc,,7163,,,,No
Harpy Feather,NPC,Misc,-,7115,0,0,708,No
Hat [1],"Keep, Vend",Official Hat Quest,x1 for Sunday Hat,,,,,No
Headset [0],"Keep, Vend","Official Hat Quest, Equipment",,,,,,No
Heart Hairpin,Keep,"Official Hat Quest, Equipment",x1 for Cresent Hairpin,5041,,,,No
Heart of Mermaid,"Vend, Whobuy",Misc,,950,,,,
Hell Contract,Keep,Pet Taming Item,"Nightmare Terror Taming Item,",12372,,,,
Helm [1],Keep,"Official Hat Quest, Equipment",x1 for Helm of Angel,,,,,No
Her Heart,Keep,Pet Taming Item,"Bongun Taming Item,",659,,,,
Heroic Emblem,"Keep, Vend","Pet Evolution, Official Hat Quest, Server Hat Quest, Misc","x100 for Orc Hero Pet Evolution, x50 for Bao Bao, x100 for Orc Hero Headdress",968,,,,
Hinalle,Keep,Official Hat Quest,,703,,,,
Hinalle Leaflet,"Vend, Whobuy","Cooking, Dungeon Quest, Consumable",,520,900,350,93,No
Hodremlin Card,Vend,"Pet Evolution, Card","x10 for Gloom Under Night Pet Evolution, x1 for Hodremlin Pet Evolution",4413,,,12,No
Holy Water,Vend,"Skill Use, Dungeon Quest, Other Quest, Consumable","x5 for Cursed Spirit Quest, x3 for Ayothaya Dungeon Entrance Quest",523,,,,
Home Cooking Kit,Keep,Cooking,,12126,,,,
Honey,Vend,"Valuable Consumable, Pet Food, Pet Evolution, Cooking","x100 for Alicel Pet Evolution, x100 for Aliot Pet Evolution",518,,450,,
Honey Pot,NPC,Misc,,7121,,,,
Horn,Keep,Skill Crafting,Create Elemental Converter,947,,,,
Horn Barrier,,Pet Accessory,,10038,,,,
Horn of Hell,,Pet Accessory,,10036,,,,
Horn of Hillslion,NPC,Misc,,6023,,,,No
Horrendous Hair,"Keep, NPC",Official Hat Quest,"x50 for Opera Phantom Mask, x500 for Mythical Lion Mask",1048,,,,No
Horrendous Mouth,"Vend, NPC",Pet Taming Item Ingredient,,958,390,0,241,No
Horseshoe,NPC,Misc,,944,,,,
Huge Leaf,Vend,"Repeatable Quest, Pet Evolution, Cooking","x500 for Wild Rose Pet Evolution, x100 for Leaf Lunatic Pet Evolution",7198,650,300,378,
Hydra Card,"Keep, Vend","Server Hat Quest, Card",x1 for Alice Doll,4035,,,,
Hyegun Hat [1] (Yao Jun),"Keep, Vend","Pet Evolution, Equipment",x1 for Yao Jun Pet Evolution (Hyegun),5367,"5,000",,,No
Ice Cream,NPC,Consumable,,536,0,0,,Yes
Ice Cubic,Keep,Cooking,+10 DEX Food,7066,,,,
Ice Fireworks,Vend,Pet Taming Item,"Imp Taming Item,",12374,,,,
Ice Scale,"Keep, NPC",Server Hat Quest,x5 for Satanic Bone Helm,7562,,,,
